UNIQUE_CARRIER:14070:<string>,ORIGIN:14070:<string>,origin_passengers:14070:<double>
26Q,LBG,11
26Q,LIN,1
26Q,MXP,0
26Q,OPF,10
26Q,PTK,5
26Q,SAT,2
26Q,SNN,5
26Q,TEB,21
26Q,YQB,0
26Q,ZRH,2
27Q,1B1,7
27Q,2PA,11
27Q,3NJ,5
27Q,5NJ,0
27Q,ABE,19
27Q,ABQ,2
27Q,ACK,11
27Q,ACY,9
27Q,ADS,29
27Q,AGS,14
27Q,ANC,12
27Q,APA,28
27Q,APC,37
27Q,APF,44
27Q,ARN,1
27Q,ASE,73
27Q,ATH,5
27Q,ATL,12
27Q,ATS,9
27Q,ATW,0
27Q,AUS,43
27Q,AVL,6
27Q,AVP,0
27Q,AXA,18
27Q,AZA,14
27Q,AZO,1
27Q,BAF,0
27Q,BBX,0
27Q,BCT,25
27Q,BDL,1
27Q,BED,101
27Q,BER,4
27Q,BFI,27
27Q,BFL,7
27Q,BGD,0
27Q,BGI,12
27Q,BGM,0
27Q,BHM,5
27Q,BIL,9
27Q,BIO,4
27Q,BJC,8
27Q,BKL,7
27Q,BLM,18
27Q,BMG,7
27Q,BNA,20
27Q,BOI,0
27Q,BOS,12
27Q,BOW,9
27Q,BQK,2
27Q,BRO,13
27Q,BTR,14
27Q,BTV,2
27Q,BUF,1
27Q,BUR,82
27Q,BWI,31
27Q,BZN,43
27Q,BZZ,6
27Q,CAK,13
27Q,CCR,8
27Q,CGF,1
27Q,CGN,3
27Q,CGR,9
27Q,CHO,3
27Q,CHS,8
27Q,CIC,4
27Q,CLD,19
27Q,CLE,3
27Q,CLT,10
27Q,CMH,9
27Q,CNM,9
27Q,COD,1
27Q,COE,2
27Q,COS,14
27Q,CSL,2
27Q,CTG,8
27Q,CTH,2
27Q,CWF,6
27Q,DAL,67
27Q,DAY,6
27Q,DCA,25
27Q,DEN,6
27Q,DFW,1
27Q,DPA,2
27Q,DSM,15
27Q,DTW,20
27Q,DVT,0
27Q,DWH,13
27Q,EGE,22
27Q,EGV,30
27Q,ELH,6
27Q,ENA,5
27Q,ENW,8
27Q,EWR,60
27Q,EYW,14
27Q,FAB,2
27Q,FAT,8
27Q,FHU,9
27Q,FLL,30
27Q,FLR,5
27Q,FOK,133
27Q,FPR,0
27Q,FRG,16
27Q,FTW,13
27Q,FTY,6
27Q,GCN,2
27Q,GEO,7
27Q,GHC,4
27Q,GJT,8
27Q,GND,3
27Q,GNV,7
27Q,GON,1
27Q,GRU,2
27Q,GSP,7
27Q,GTF,1
27Q,GUC,15
27Q,GYE,15
27Q,GYR,0
27Q,HCR,5
27Q,HDN,0
27Q,HHH,13
27Q,HLM,1
27Q,HND,16
27Q,HNL,0
27Q,HOU,39
27Q,HPN,201
27Q,HRL,12
27Q,HSH,45
27Q,HTO,5
27Q,HUF,1
27Q,HVN,20
27Q,HWD,13
27Q,HYA,3
27Q,IAD,150
27Q,IAH,33
27Q,ICT,19
27Q,IDA,8
27Q,IFP,0
27Q,IGM,1
27Q,ILG,1
27Q,ILM,6
27Q,IND,3
27Q,IPL,2
27Q,ISP,2
27Q,JAC,34
27Q,JFK,1
27Q,JRA,70
27Q,JRB,2
27Q,JZI,2
27Q,JZT,8
27Q,KEF,4
27Q,KIR,4
27Q,KOA,21
27Q,LA2,3
27Q,LAN,1
27Q,LAS,101
27Q,LAX,143
27Q,LBG,25
27Q,LBL,11
27Q,LCH,9
27Q,LEB,6
27Q,LGA,4
27Q,LGB,8
27Q,LIH,17
27Q,LIT,15
27Q,LNS,0
27Q,LRU,7
27Q,LTN,16
27Q,LUK,4
27Q,LVK,0
27Q,LWB,7
27Q,LZU,10
27Q,MAE,0
27Q,MBJ,9
27Q,MCN,0
27Q,MCO,9
27Q,MDN,0
27Q,MDT,9
27Q,MDW,385
27Q,MFE,8
27Q,MHE,4
27Q,MHH,5
27Q,MHR,2
27Q,MIA,28
27Q,MKC,12
27Q,MKG,12
27Q,MLB,0
27Q,MLU,0
27Q,MMU,6
27Q,MNZ,6
27Q,MOD,9
27Q,MRK,5
27Q,MRY,24
27Q,MSN,1
27Q,MSP,3
27Q,MVY,24
27Q,MYR,4
27Q,N4Y,43
27Q,N8Y,5
27Q,NAN,3
27Q,NAS,36
27Q,NCE,17
27Q,NEW,4
27Q,NJ1,14
27Q,NUQ,14
27Q,OAK,11
27Q,OCF,1
27Q,OGG,15
27Q,OGS,7
27Q,OMA,0
27Q,OPF,108
27Q,OR4,2
27Q,ORD,8
27Q,ORF,20
27Q,ORL,3
27Q,OSU,6
27Q,OXC,0
27Q,PA8,2
27Q,PBI,244
27Q,PDK,21
27Q,PDX,26
27Q,PHF,0
27Q,PHL,36
27Q,PHX,48
27Q,PIA,12
27Q,PIE,0
27Q,PIH,0
27Q,PIT,32
27Q,PLN,2
27Q,PLS,17
27Q,PNE,12
27Q,PRB,6
27Q,PSC,13
27Q,PSM,23
27Q,PSP,77
27Q,PTK,1
27Q,PVD,21
27Q,PVU,8
27Q,PWK,174
27Q,PWM,14
27Q,PWT,3
27Q,RAL,0
27Q,RBW,2
27Q,RDU,45
27Q,RHI,9
27Q,RIC,8
27Q,RIL,62
27Q,RMN,12
27Q,RNO,1
27Q,ROC,2
27Q,ROG,3
27Q,RST,4
27Q,RSW,2
27Q,RWI,16
27Q,SAC,3
27Q,SAF,5
27Q,SAN,45
27Q,SAT,18
27Q,SAV,20
27Q,SBA,58
27Q,SBP,1
27Q,SCE,14
27Q,SCF,62
27Q,SCK,0
27Q,SDF,2
27Q,SDX,4
27Q,SEF,1
27Q,SFO,108
27Q,SGF,2
27Q,SHV,94
27Q,SIY,5
27Q,SJC,76
27Q,SJD,12
27Q,SJO,8
27Q,SJU,8
27Q,SLC,31
27Q,SNA,27
27Q,SNN,5
27Q,SOP,6
27Q,SPI,7
27Q,SRQ,15
27Q,SSF,7
27Q,SSI,0
27Q,STL,0
27Q,STN,11
27Q,STP,16
27Q,STS,5
27Q,SUA,9
27Q,SUN,24
27Q,SUS,1
27Q,SVD,21
27Q,SWF,33
27Q,SXM,49
27Q,SYR,11
27Q,T4X,3
27Q,TDZ,0
27Q,TEB,841
27Q,TEX,0
27Q,TKF,9
27Q,TLC,15
27Q,TLH,0
27Q,TN8,5
27Q,TOL,4
27Q,TPA,4
27Q,TRM,0
27Q,TSM,7
27Q,TSS,62
27Q,TTN,18
27Q,TUL,2
27Q,TUS,11
27Q,TX6,0
27Q,TYS,5
27Q,UES,0
27Q,UGN,80
27Q,UST,3
27Q,VCE,7
27Q,VGT,10
27Q,VNY,111
27Q,VRB,5
27Q,WGO,5
27Q,WI7,4
27Q,WKV,1
27Q,WWD,1
27Q,YHD,0
27Q,YIP,5
27Q,YML,2
27Q,YQK,0
27Q,YUL,9
27Q,YYC,2
27Q,YYZ,30
27Q,ZLO,13
27Q,ZRH,4
2AQ,ANU,0
2AQ,BEL,1
2AQ,BOS,14
2AQ,BQK,0
2AQ,BTS,1
2AQ,CIW,2
2AQ,CMH,1
2AQ,CUN,2
2AQ,DTW,2
2AQ,FAB,0
2AQ,FLL,10
2AQ,GND,0
2AQ,GRU,2
2AQ,HPN,1
2AQ,IAD,13
2AQ,IAH,11
2AQ,KEF,5
2AQ,LAX,2
2AQ,LUX,3
2AQ,MAN,1
2AQ,MIA,3
2AQ,MLB,5
2AQ,NHT,1
2AQ,PBG,2
2AQ,PHL,3
2AQ,PIE,1
2AQ,PLS,7
2AQ,PRG,14
2AQ,SAV,0
2AQ,SFO,4
2AQ,STT,3
2AQ,SXM,1
2AQ,TEB,7
2AQ,YHZ,4
2AQ,YQX,3
2AQ,YYZ,3
2E,A03,0
2E,A52,0
2E,A72,0
2E,HOM,10507
2E,KEB,2751
2E,PGM,2689
2E,SOV,4936
2GQ,ATL,0
2GQ,AUA,0
2GQ,BDA,0
2GQ,BWI,0
2GQ,DFW,0
2GQ,IAH,0
2GQ,MIA,0
2GQ,POS,0
2GQ,YBG,0
2GQ,YEG,0
2GQ,YMX,0
2GQ,YYT,0
2JQ,ABE,11
2JQ,APF,430
2JQ,BCT,4076
2JQ,BJC,28615
2JQ,BNA,373
2JQ,BUR,114787
2JQ,BZN,35
2JQ,CCR,13369
2JQ,CLD,15246
2JQ,COS,57
2JQ,CSL,9549
2JQ,DAL,58959
2JQ,DEN,56
2JQ,DSI,3633
2JQ,EFD,40
2JQ,FST,11
2JQ,GUC,3804
2JQ,HOU,19424
2JQ,HPN,12873
2JQ,LAS,151076
2JQ,LAX,15956
2JQ,MHH,66
2JQ,MMU,2318
2JQ,MRY,1691
2JQ,OAK,45687
2JQ,OPF,13337
2JQ,PBI,955
2JQ,PHX,597
2JQ,PUB,7
2JQ,RNO,10343
2JQ,SAF,91
2JQ,SCF,41796
2JQ,SLC,545
2JQ,SMF,8
2JQ,SNA,47360
2JQ,T4X,1247
2JQ,TSM,5161
2K,GYE,49508
2K,JFK,89446
2K,MCO,9718
2K,UIO,52224
2LQ,2NY,25
2LQ,ACK,6
2LQ,ALB,1
2LQ,APF,16
2LQ,ASD,66
2LQ,BCT,52
2LQ,BED,2
2LQ,BIM,381
2LQ,BS3,301
2LQ,CAE,0
2LQ,CCZ,18
2LQ,CDW,5
2LQ,CXY,1090
2LQ,ELH,129
2LQ,EWR,7
2LQ,EYW,53
2LQ,FID,3
2LQ,FLL,9713
2LQ,FOK,16
2LQ,FPO,77
2LQ,FPR,0
2LQ,FRG,1
2LQ,FXE,62
2LQ,GGT,9
2LQ,GHB,2
2LQ,GHC,521
2LQ,HBI,32
2LQ,HIE,1
2LQ,HPN,4
2LQ,HTO,2165
2LQ,HVN,0
2LQ,HYA,1
2LQ,JFK,9
2LQ,LAL,0
2LQ,LGA,0
2LQ,LNA,1
2LQ,MAY,14
2LQ,MCO,0
2LQ,MDT,6
2LQ,MHH,540
2LQ,MIA,82
2LQ,MLB,9
2LQ,MMU,4
2LQ,MPB,88
2LQ,MRK,0
2LQ,MTH,37
2LQ,MTP,42
2LQ,MVY,5
2LQ,NAS,394
2LQ,NMC,67
2LQ,NPT,0
2LQ,NSB,7044
2LQ,NY9,3
2LQ,NYS,2777
2LQ,OBE,1
2LQ,OCA,6
2LQ,OPF,70
2LQ,OWD,3
2LQ,OXC,0
2LQ,PBI,581
2LQ,PGD,0
2LQ,PHK,2
2LQ,PIE,3
2LQ,RIC,3
2LQ,RSD,46
2LQ,RSW,4
2LQ,SAQ,110
2LQ,SAV,3
2LQ,SRQ,2
2LQ,SUA,0
2LQ,TBI,4
2LQ,TCB,12
2LQ,TEB,13
2LQ,TMB,28
2LQ,TPA,27
2LQ,TYM,35
2LQ,TZN,21
2LQ,UST,2
2LQ,WKR,42
2LQ,WSH,0
2LQ,WTD,0
2NQ,ACK,8
2NQ,ASD,2
2NQ,BCT,4
2NQ,BDR,2
2NQ,BID,659
2NQ,BOS,1
2NQ,BTV,2
2NQ,CT6,2
2NQ,CXY,14
2NQ,DXR,4
2NQ,EIS,6
2NQ,EYW,14
2NQ,FID,10
2NQ,FLL,5
2NQ,FOK,9
2NQ,FRY,1
2NQ,GON,2
2NQ,HPN,30
2NQ,HVN,24
2NQ,IAD,1
2NQ,ISP,2
2NQ,LCI,15
2NQ,LGA,8
2NQ,MHH,30
2NQ,MIA,6
2NQ,MIV,4
2NQ,MMU,1
2NQ,MPB,37
2NQ,MPV,4
2NQ,MTP,15
2NQ,MVY,4
2NQ,NAS,15
2NQ,NPT,12
2NQ,NYS,72
2NQ,OPF,30
2NQ,OWD,5
2NQ,PA5,5
2NQ,PBI,11
2NQ,PCT,5
2NQ,PNE,1
2NQ,PVC,2
2NQ,PVD,2
2NQ,RDG,2
2NQ,RUT,2
2NQ,SIG,818
2NQ,SJU,7
2NQ,SLK,7
2NQ,STT,39838
2NQ,STX,40358
2NQ,SUA,2
2NQ,TEB,8
2NQ,VWK,4
2NQ,WGO,9
2NQ,WST,613
2O,01A,17
2O,06A,55
2O,09A,43
2O,A03,103
2O,A04,10
2O,A17,9
2O,A29,81
2O,A30,6
2O,A34,12
2O,A43,964
2O,A50,4
2O,A65,2
2O,A75,5
2O,A76,3
2O,A87,2
2O,ADQ,7957
2O,AKK,569
2O,AKN,18
2O,ALZ,46
2O,AOS,55
2O,BFB,7
2O,CDB,0
2O,DGB,332
2O,EGX,6
2O,EHR,21
2O,JLA,26
2O,KCQ,5
2O,KFP,0
2O,KKB,121
2O,KKL,8
2O,KLN,2030
2O,KMY,51
2O,KOY,57
2O,KOZ,1410
2O,KPR,18
2O,KPY,59
2O,KWP,71
2O,KYK,253
2O,KZB,67
2O,NNK,3
2O,OLH,2330
2O,ONN,22
2O,ORI,1331
2O,SKJ,46
2O,SWD,0
2O,SYB,149
2O,UGB,4
2O,UGI,68
2O,WQX,3
2OQ,APW,13021
2OQ,PPG,13234
2OQ,TBU,170
2OQ,VAV,29
2UQ,AUS,1
2UQ,BRS,1
2UQ,CIW,4
2UQ,INV,2
2UQ,MIA,0
2UQ,OXF,17
2UQ,SJC,1
2UQ,SXM,2
2UQ,TEB,29
36Q,ACK,5
36Q,AGP,4
36Q,ALB,11
36Q,AMS,2
36Q,ANU,10
36Q,ATH,7
36Q,AUS,10
36Q,AZA,6
36Q,BCT,8
36Q,BDA,8
36Q,BED,7
36Q,BGR,12
36Q,BHD,2
36Q,BHM,0
36Q,BIQ,4
36Q,BLQ,4
36Q,BNA,8
36Q,BOS,22
36Q,BRN,2
36Q,BRQ,8
36Q,BTV,2
36Q,BWE,6
36Q,BWI,28
36Q,CGN,14
36Q,CHS,3
36Q,CLT,5
36Q,CMF,3
36Q,COU,4
36Q,CPH,2
36Q,CPR,4
36Q,CRL,4
36Q,CTA,7
36Q,CWL,3
36Q,DAL,1
36Q,DUB,7
36Q,EGE,0
36Q,EIN,5
36Q,EWR,70
36Q,FAB,14
36Q,FLL,4
36Q,FOK,11
36Q,FRG,0
36Q,FXE,9
36Q,GCM,11
36Q,GGT,6
36Q,GIB,3
36Q,GOT,3
36Q,GSP,0
36Q,GVA,18
36Q,HOU,5
36Q,HPN,9
36Q,IAD,26
36Q,IAH,6
36Q,IBZ,3
36Q,JMK,7
36Q,KEF,14
36Q,LAL,2
36Q,LAS,2
36Q,LAX,6
36Q,LBG,38
36Q,LEX,7
36Q,LGA,3
36Q,LIR,9
36Q,LIS,4
36Q,LRT,2
36Q,LTN,52
36Q,LUX,2
36Q,MAD,12
36Q,MAN,4
36Q,MCO,4
36Q,MDE,1
36Q,MDW,2
36Q,MHH,2
36Q,MIA,33
36Q,MLA,2
36Q,MLB,1
36Q,MMU,5
36Q,MUC,5
36Q,MVY,3
36Q,MXP,0
36Q,NAP,9
36Q,NAS,46
36Q,NCE,39
36Q,OAK,0
36Q,OLB,13
36Q,OPF,39
36Q,ORD,6
36Q,ORL,0
36Q,OSL,12
36Q,PBI,10
36Q,PEG,2
36Q,PHX,1
36Q,PLS,20
36Q,PMI,2
36Q,PSM,0
36Q,PVD,4
36Q,PVR,9
36Q,PWK,4
36Q,PWM,2
36Q,RIL,3
36Q,SAN,0
36Q,SBA,6
36Q,SCF,5
36Q,SFO,1
36Q,SIR,2
36Q,SJC,2
36Q,SJO,4
36Q,SLC,1
36Q,SNN,22
36Q,STL,7
36Q,STN,21
36Q,SXF,3
36Q,SXM,8
36Q,TEB,92
36Q,TER,0
36Q,TLC,3
36Q,TTN,0
36Q,UGN,0
36Q,UIO,9
36Q,VIE,5
36Q,VNY,17
36Q,WAW,4
36Q,YHZ,4
36Q,YOW,5
36Q,YUL,6
36Q,YVR,1
36Q,YYR,0
36Q,YYZ,2
36Q,ZRH,4
3AQ,7AK,1186
3AQ,A5K,7
3AQ,ADQ,4
3AQ,AKN,3
3AQ,ANI,11
3AQ,BRW,37
3AQ,BTT,3
3AQ,CDB,2
3AQ,CKU,4
3AQ,CXF,9
3AQ,DJN,25
3AQ,DLG,0
3AQ,DQL,9
3AQ,DUT,23
3AQ,ENA,12
3AQ,FYU,2
3AQ,GAL,14
3AQ,GBH,12
3AQ,GKN,45
3AQ,HOM,253
3AQ,HSL,3
3AQ,ILI,6
3AQ,KEB,4
3AQ,KQA,1346
3AQ,KVC,4
3AQ,LIV,14
3AQ,LVD,2
3AQ,MCG,41
3AQ,MLY,2
3AQ,MRI,3
3AQ,MTX,235
3AQ,NUI,5
3AQ,OME,0
3AQ,PGM,40
3AQ,PPC,69
3AQ,PTH,3
3AQ,RBY,6
3AQ,RDV,26
3AQ,SCC,7
3AQ,SOV,131
3AQ,SWD,9
3AQ,SXQ,0
3AQ,TAL,0
3AQ,TKA,0
3AQ,TKJ,8
3AQ,UMT,1
3AQ,UNK,2
3AQ,VDZ,23
3BQ,ASD,1283
3BQ,CCZ,1587
3BQ,FXE,8423
3BQ,SAQ,2908
3BQ,TYM,794
3BQ,TZN,2429
3EQ,1B1,10
3EQ,2GA,3
3EQ,ABQ,24
3EQ,ACT,2
3EQ,ACV,6
3EQ,ADS,14
3EQ,AL6,8
3EQ,ALW,13
3EQ,AMA,3
3EQ,ANU,17
3EQ,APA,52
3EQ,APC,47
3EQ,ASE,94
3EQ,AST,8
3EQ,ATL,17
3EQ,AUO,11
3EQ,AUS,71
3EQ,AVL,11
3EQ,AVW,2
3EQ,AXA,5
3EQ,AZ3,7
3EQ,BCT,22
3EQ,BDS,14
3EQ,BED,6
3EQ,BFI,66
3EQ,BFL,22
3EQ,BGR,14
3EQ,BHM,1
3EQ,BIL,4
3EQ,BJC,53
3EQ,BLD,8
3EQ,BNA,66
3EQ,BOS,8
3EQ,BTM,2
3EQ,BTR,6
3EQ,BTV,4
3EQ,BUF,5
3EQ,BUR,63
3EQ,BWI,10
3EQ,BZN,22
3EQ,C01,14
3EQ,CBK,7
3EQ,CCR,4
3EQ,CGN,3
3EQ,CHA,2
3EQ,CIC,2
3EQ,CLD,43
3EQ,CLE,6
3EQ,CLL,2
3EQ,CLM,2
3EQ,CLT,4
3EQ,CMH,18
3EQ,CNO,1
3EQ,CNY,10
3EQ,COE,42
3EQ,COS,10
3EQ,COU,2
3EQ,CRS,2
3EQ,CSL,127
3EQ,CSN,1
3EQ,CUN,6
3EQ,DAL,27
3EQ,DEN,10
3EQ,DET,7
3EQ,DFW,9
3EQ,DPA,12
3EQ,DRO,13
3EQ,DSM,13
3EQ,DTW,15
3EQ,DUB,7
3EQ,DVT,6
3EQ,DWH,2
3EQ,EAR,1
3EQ,EAT,6
3EQ,EGE,31
3EQ,ELP,21
3EQ,EUG,7
3EQ,FAB,5
3EQ,FAR,11
3EQ,FAT,37
3EQ,FCA,5
3EQ,FCO,2
3EQ,FLG,12
3EQ,FLL,5
3EQ,FLR,6
3EQ,FMY,4
3EQ,FNL,8
3EQ,FRG,8
3EQ,FTW,19
3EQ,FTY,1
3EQ,GCK,7
3EQ,GCN,5
3EQ,GDL,3
3EQ,GEG,4
3EQ,GHB,4
3EQ,GOA,2
3EQ,GRB,14
3EQ,GRO,6
3EQ,GRR,1
3EQ,GSO,2
3EQ,GTF,15
3EQ,GUP,2
3EQ,GYE,17
3EQ,GYY,3
3EQ,HAF,2
3EQ,HDN,7
3EQ,HHR,10
3EQ,HNL,50
3EQ,HOU,23
3EQ,HPN,32
3EQ,HSH,95
3EQ,HWD,5
3EQ,IAD,67
3EQ,IDA,4
3EQ,IKV,7
3EQ,ILG,7
3EQ,IN2,4
3EQ,IND,15
3EQ,INT,2
3EQ,ITH,4
3EQ,JAC,91
3EQ,KOA,54
3EQ,LAF,8
3EQ,LAS,259
3EQ,LAX,157
3EQ,LBF,10
3EQ,LBG,7
3EQ,LGA,4
3EQ,LGB,22
3EQ,LIH,16
3EQ,LIN,5
3EQ,LIR,22
3EQ,LNK,2
3EQ,LNY,2
3EQ,LRM,3
3EQ,LVK,20
3EQ,MAD,4
3EQ,MAF,12
3EQ,MAJ,12
3EQ,MCC,12
3EQ,MCE,6
3EQ,MCI,9
3EQ,MCO,3
3EQ,MDH,2
3EQ,MDW,23
3EQ,MEM,5
3EQ,MEV,1
3EQ,MFR,1
3EQ,MHR,2
3EQ,MI2,2
3EQ,MIA,27
3EQ,MKC,12
3EQ,MKE,1
3EQ,MLI,17
3EQ,MLU,4
3EQ,MMH,17
3EQ,MOD,9
3EQ,MRY,72
3EQ,MSO,9
3EQ,MSP,19
3EQ,MSY,13
3EQ,MTJ,7
3EQ,MVW,2
3EQ,MVY,2
3EQ,MWH,5
3EQ,MYF,3
3EQ,NAN,6
3EQ,NAP,12
3EQ,NAS,12
3EQ,NM1,1
3EQ,NUQ,70
3EQ,OAK,128
3EQ,OCF,1
3EQ,OCJ,8
3EQ,OGD,6
3EQ,OGG,83
3EQ,OMA,1
3EQ,ONT,52
3EQ,OPF,52
3EQ,OR4,5
3EQ,ORD,9
3EQ,ORL,1
3EQ,OUN,2
3EQ,OXR,4
3EQ,PAE,4
3EQ,PAH,2
3EQ,PBI,32
3EQ,PDK,26
3EQ,PDX,25
3EQ,PGA,27
3EQ,PGL,7
3EQ,PGO,13
3EQ,PHF,3
3EQ,PHX,96
3EQ,PLS,13
3EQ,PNE,18
3EQ,PRB,7
3EQ,PRC,1
3EQ,PSP,70
3EQ,PTK,6
3EQ,PVR,38
3EQ,PVU,21
3EQ,QQT,4
3EQ,QRO,5
3EQ,RAP,5
3EQ,RBD,2
3EQ,RBF,4
3EQ,RDM,2
3EQ,RIL,39
3EQ,RIV,2
3EQ,RNO,47
3EQ,ROG,4
3EQ,ROW,1
3EQ,RQV,1
3EQ,RST,9
3EQ,RTB,4
3EQ,SAA,32
3EQ,SAC,12
3EQ,SAF,27
3EQ,SAN,97
3EQ,SAT,24
3EQ,SBA,172
3EQ,SBD,6
3EQ,SBP,4
3EQ,SCF,167
3EQ,SCK,3
3EQ,SDF,15
3EQ,SDM,38
3EQ,SDX,2
3EQ,SEA,7
3EQ,SEE,8
3EQ,SFB,18
3EQ,SFO,136
3EQ,SGF,2
3EQ,SGH,2
3EQ,SGU,15
3EQ,SHD,3
3EQ,SHR,2
3EQ,SJC,182
3EQ,SJD,27
3EQ,SJU,40
3EQ,SLC,207
3EQ,SLE,6
3EQ,SMF,14
3EQ,SMO,16
3EQ,SMX,14
3EQ,SNA,160
3EQ,SNN,3
3EQ,STL,2
3EQ,STS,49
3EQ,STT,18
3EQ,SUA,2
3EQ,SUN,32
3EQ,SUS,35
3EQ,SVQ,4
3EQ,SXF,8
3EQ,SXM,20
3EQ,T8X,7
3EQ,TEB,127
3EQ,TEX,17
3EQ,TIW,16
3EQ,TKF,13
3EQ,TLC,29
3EQ,TMB,1
3EQ,TN8,11
3EQ,TPA,4
3EQ,TRM,84
3EQ,TTN,4
3EQ,TUL,16
3EQ,TUS,34
3EQ,TVC,4
3EQ,TVL,10
3EQ,TWF,3
3EQ,TYS,4
3EQ,UT1,15
3EQ,VCE,7
3EQ,VCV,1
3EQ,VGT,4
3EQ,VIS,5
3EQ,VNY,1341
3EQ,VWS,2
3EQ,WQC,1
3EQ,XWW,3
3EQ,YCG,1
3EQ,YHU,2
3EQ,YIP,8
3EQ,YKF,5
3EQ,YLW,15
3EQ,YNG,14
3EQ,YPQ,4
3EQ,YQA,9
3EQ,YUL,9
3EQ,YVR,25
3EQ,YYC,15
3EQ,YYZ,3
3EQ,ZLO,3
3FQ,ABE,0
3FQ,ACK,12
3FQ,ACY,0
3FQ,ADS,6
3FQ,AFW,0
3FQ,AGC,0
3FQ,ALB,12
3FQ,ANC,11
3FQ,ANU,0
3FQ,APA,1
3FQ,APC,8
3FQ,APF,12
3FQ,ASE,30
3FQ,AUA,8
3FQ,AUS,94
3FQ,AVL,2
3FQ,AVW,10
3FQ,AXA,4
3FQ,AZA,12
3FQ,BAF,0
3FQ,BCT,36
3FQ,BED,29
3FQ,BFI,27
3FQ,BFL,1
3FQ,BGR,10
3FQ,BJC,3
3FQ,BLI,6
3FQ,BLM,10
3FQ,BNA,20
3FQ,BOS,13
3FQ,BQK,1
3FQ,BTV,4
3FQ,BUF,7
3FQ,BUR,15
3FQ,BWI,0
3FQ,BZN,81
3FQ,C01,1
3FQ,CHS,0
3FQ,CLD,1
3FQ,CLE,4
3FQ,CLL,0
3FQ,CLO,4
3FQ,CLT,8
3FQ,CMH,2
3FQ,CMI,4
3FQ,CMX,3
3FQ,COE,15
3FQ,COS,0
3FQ,CPS,0
3FQ,CSL,0
3FQ,CTG,0
3FQ,CUN,8
3FQ,CXO,0
3FQ,DAL,12
3FQ,DBQ,0
3FQ,DEN,5
3FQ,DFW,4
3FQ,DLH,0
3FQ,DPA,0
3FQ,DSM,0
3FQ,DTW,16
3FQ,DVT,4
3FQ,ECP,5
3FQ,EGE,86
3FQ,ELH,2
3FQ,EUG,9
3FQ,EWR,2
3FQ,FAB,0
3FQ,FCA,11
3FQ,FL8,5
3FQ,FLL,10
3FQ,FOK,20
3FQ,FRG,8
3FQ,FTW,29
3FQ,FXE,14
3FQ,GCM,22
3FQ,GEG,0
3FQ,GGG,3
3FQ,GGT,6
3FQ,GRR,0
3FQ,GSP,12
3FQ,GVL,5
3FQ,GVT,6
3FQ,GYY,7
3FQ,HDN,14
3FQ,HHH,0
3FQ,HNL,15
3FQ,HOT,0
3FQ,HOU,34
3FQ,HPN,311
3FQ,HSH,13
3FQ,HVN,0
3FQ,HYA,10
3FQ,IAD,8
3FQ,IAG,8
3FQ,IAH,1
3FQ,ID1,2
3FQ,IKK,12
3FQ,ILG,6
3FQ,IN2,0
3FQ,IND,1
3FQ,INT,13
3FQ,IPL,10
3FQ,JAC,51
3FQ,JAX,9
3FQ,KIR,256
3FQ,KOA,35
3FQ,LAS,107
3FQ,LAX,71
3FQ,LBB,0
3FQ,LGA,4
3FQ,LIH,6
3FQ,LIN,2
3FQ,LIR,13
3FQ,LNK,0
3FQ,LNY,9
3FQ,LOT,9
3FQ,LRM,3
3FQ,MBS,9
3FQ,MCO,25
3FQ,MDW,11
3FQ,MFD,2
3FQ,MGR,0
3FQ,MGW,9
3FQ,MHH,0
3FQ,MHR,0
3FQ,MHV,0
3FQ,MIA,37
3FQ,MKE,0
3FQ,MMU,18
3FQ,MN5,0
3FQ,MNZ,0
3FQ,MOT,2
3FQ,MRY,23
3FQ,MSN,0
3FQ,MSP,12
3FQ,MSY,8
3FQ,MVY,14
3FQ,NAS,50
3FQ,NEW,14
3FQ,NUQ,12
3FQ,NYL,0
3FQ,OAK,29
3FQ,OGG,44
3FQ,OMA,6
3FQ,OPF,98
3FQ,ORL,8
3FQ,OSU,5
3FQ,OTH,13
3FQ,OXR,0
3FQ,PAE,0
3FQ,PBI,50
3FQ,PCD,2
3FQ,PDK,17
3FQ,PDP,3
3FQ,PDX,5
3FQ,PGV,5
3FQ,PHL,17
3FQ,PHX,5
3FQ,PIE,17
3FQ,PLS,26
3FQ,PMO,0
3FQ,PRC,12
3FQ,PSM,11
3FQ,PSP,0
3FQ,PTK,40
3FQ,PUC,0
3FQ,PVD,8
3FQ,PVR,29
3FQ,PVU,5
3FQ,PWK,21
3FQ,PWM,2
3FQ,QMA,5
3FQ,RAC,9
3FQ,RDU,10
3FQ,RHI,0
3FQ,RIL,24
3FQ,RKD,1
3FQ,RNO,8
3FQ,RST,16
3FQ,RTB,13
3FQ,SAA,0
3FQ,SAF,1
3FQ,SAN,33
3FQ,SAT,26
3FQ,SBA,25
3FQ,SBD,11
3FQ,SBN,11
3FQ,SCF,4
3FQ,SCH,3
3FQ,SDF,4
3FQ,SDM,0
3FQ,SFH,5
3FQ,SFO,54
3FQ,SIG,0
3FQ,SJC,60
3FQ,SJD,26
3FQ,SJO,0
3FQ,SJU,6
3FQ,SKB,27
3FQ,SLC,27
3FQ,SNA,58
3FQ,SRQ,0
3FQ,STI,2
3FQ,STL,5
3FQ,STP,0
3FQ,STS,7
